Flight No.,Date and time ( UTC ),"Version, Booster   [ b ]",Launch site,Payload [ c ],Payload mass,Orbit,Customer,Launch outcome,Booster landing,Payload,Version Booster,Date,Time
27,,,Cape Canaveral,,"2,257 kg (4,976 lb)[142]",LEO (ISS),NASA (CRS),Success,Success(ground pad),SpaceX CRS-9,F9 FT[,15 June 2016,14:29
28,,,Cape Canaveral,,"4,600 kg (10,100 lb)",GTO,SKY Perfect JSAT Group,Success,Success(drone ship),JCSAT-16,F9 FT[,18 July 2016,04:45
29,,,VAFB,,"9,600 kg (21,200 lb)",Polar LEO,Iridium Communications,Success,Success[154](drone ship),Iridium NEXT,F9 FT[,14 August 2016,05:26
30,,,KSC,,"2,490 kg (5,490 lb)[160]",LEO (ISS),NASA (CRS),Success,Success(ground pad),SpaceX CRS-10,F9 FT[,14 January 2017,17:54
31,,,KSC,,"5,600 kg (12,300 lb)[164]",GTO,EchoStar,Success,No attempt[165],EchoStar 23,F9 FT[,19 February 2017,14:39
32,,,KSC,,"5,300 kg (11,700 lb)[169]",GTO,SES,Success[170],Success(drone ship),SES-10,F9 FT[,16 March 2017,06:00
33,,,KSC,,Classified,LEO[175],NRO,Success,Success(ground pad),NROL-76,F9 FT♺[,30 March 2017,22:27
34,,,KSC,,"6,070 kg (13,380 lb)[181]",GTO,Inmarsat,Success,No attempt[165],Inmarsat-5 F4,F9 FT[,1 May 2017,11:15
35,,,KSC,,"2,708 kg (5,970 lb)[186]",LEO (ISS),NASA (CRS),Success,Success(ground pad),SpaceX CRS-11,F9 FT[,15 May 2017,23:21
36,,,KSC,,"3,669 kg (8,089 lb)[197]",GTO,Bulsatcom,Success,Success(drone ship),BulgariaSat-1,F9 FT[,3 June 2017,21:07
37,,,VAFB,,"9,600 kg (21,200 lb)",LEO,Iridium Communications,Success,Success(drone ship),Iridium NEXT,F9 FTB1029.2195,23 June 2017,19:10
38,,,KSC,,"6,761 kg (14,905 lb)[202]",GTO,Intelsat,Success,No attempt[165],Intelsat 35e,F9 FT[,25 June 2017,20:25
39,,,KSC,,"3,310 kg (7,300 lb)",LEO (ISS),NASA (CRS),Success,Success(ground pad),SpaceX CRS-12,F9 FT[,5 July 2017,23:38
40,,,VAFB,,"475 kg (1,047 lb)[212]",SSO,NSPO,Success,Success(drone ship),Formosat-5,F9 B4[,14 August 2017,16:31
41,,,KSC,,"4,990 kg (11,000 lb)[216]+ OTV payload",LEO,USAF,Success,Success(ground pad),Boeing X-37B,F9 FT[,24 August 2017,18:51
42,,,VAFB,,"9,600 kg (21,200 lb)",Polar LEO,Iridium Communications,Success,Success(drone ship),Iridium NEXT,F9 B4[,7 September 2017,14:00
43,,,KSC,,"5,200 kg (11,500 lb)",GTO,"SES S.A.
EchoStar",Success,Success(drone ship),SES-11,F9 B4[,9 October 2017,12:37
44,,,KSC,,"3,500 kg (7,700 lb)",GTO,KT Corporation,Success,Success(drone ship),Koreasat 5A,F9 FTB1031.2220,11 October 2017,22:53:00
45,,,Cape Canaveral,,"2,205 kg (4,861 lb)",LEO (ISS),NASA (CRS),Success,Success(ground pad),SpaceX CRS-13,F9 B4[,30 October 2017,19:34
46,,,VAFB,,"9,600 kg (21,200 lb)",Polar LEO,Iridium Communications,Success[230],Controlled(ocean)[d][230],Iridium NEXT,F9 FTB1035.2227,15 December 2017,15:36
47,,,CCAFS,,Classified,LEO,Northrop Grumman [f][238],Success[241],Success(ground pad),Zuma,F9 FTB1036.2227,23 December 2017,01:27
48,,,CCAFS,,"4,230 kg (9,330 lb)[247]",GTO,SES,Success[248],Controlled(ocean)[d][248],GovSat-1,F9 B4[,8 January 2018,01:00
49,,,VAFB,,"2,150 kg (4,740 lb)",SSO,"Hisdesat
exactEarth
SpaceX",Success[271],No attempt[271],Paz,F9 FTB1032.2245,31 January 2018,21:25
50,,,CCAFS,,"6,092 kg (13,431 lb)[279]",GTO,"Hispasat[277]
NovaWurks",Success[280],No attempt[281],Hispasat 30W-6,F9 FTB1038.2268,22 February 2018,14:17
51,,,VAFB,,"9,600 kg (21,200 lb)",Polar LEO,Iridium Communications,Success[286],No attempt[287],Iridium NEXT,F9 B4[,6 March 2018,05:33
52,,,CCAFS,,"2,647 kg (5,836 lb)[292]",LEO (ISS),NASA (CRS),Success[293],No attempt[294],SpaceX CRS-14,F9 B4B1041.2268,30 March 2018,14:14
53,,,CCAFS,,362 kg (798 lb)[305],HEO for P/2 orbit,NASA (LSP),Success[306],Success[306](drone ship),Transiting Exoplanet Survey Satellite,F9 B4B1039.2292,2 April 2018,20:30
54,,,KSC,,"3,600 kg (7,900 lb)[314]",GTO,Thales-Alenia / BTRC,Success[315],Success[315](drone ship),Bangabandhu-1,F9 B4[,18 April 2018,22:51
55,,,VAFB,,"6,460 kg (14,240 lb)[g]",Polar LEO,"Iridium Communications
GFZ • NASA",Success[327],No attempt[165],Iridium NEXT,F9 B5311B1046.1268,11 May 2018,20:14
56,,,CCAFS,,"5,384 kg (11,870 lb)[332]",GTO,SES,Success[333],No attempt[165],SES-12,F9 B4B1043.2322,22 May 2018,19:47
57,,,CCAFS,,"2,697 kg (5,946 lb)[337]",LEO (ISS),NASA (CRS),Success[338],No attempt[165],SpaceX CRS-15,F9 B4B1040.2268,4 June 2018,04:45
58,,,CCAFS,,"7,075 kg (15,598 lb)[342]",GTO[343],Telesat,Success[344],Success[344](drone ship),Telstar 19V,F9 B4B1045.2336,29 June 2018,09:42
